abix zabbix
solr Solr
some some
soth something
soud sound
soue Source
sout south
sovy sovereignty
spak Spark
spbo Springboot
spel specifically
spem spacemacs
sprg Spring
sprt sprint
sqll SQL
squa square
stad standard
stag stage
start start
stat status
stem Streaming
step 
stey steadily
stic constitute
stii instill
stiin instillation
stis substitute
stom Storm
stre street
strm streaming
strs strides
stti struct_time
sudn sudden
sudo sudo
sudy suddenly
sugt suggest
sums summarise
sumy 
sund Sunday
sure sure
suvi supervisord
suvic supervisorctl
sysc systemctl
sysd systemd
syse ecosystem
sysm system
tabe table
table table
tacc contact
taia attain
taio tailor
take take
takn taken
tanh tanh
target target
task Task
tchl technological
tchy technology
teln television
tenr Tensor
tenw TensorFlow
teph telephone
test test
text text
tfid TF-IDF
tgrj t_ga_rjbxx
than than
thas those
that that
the the
thee There
thei their
then then
ther there
thet theta
they they
thid third
thod thousand
thou throughout
thre three
thrh through
thud Thursday
time time
tire entire
tist timestamp
tite Title
tmpl template
tncn content
todo TODO
togg toggle
tomt Tomcat
topc topic
topp top
town town
tral traditional
tram transform
trip triple
trsc contrast
true 
trul truly
trun truncate
tued Tuesday
type type
ubuu Ubuntu
undr under
unis universities
unit university
unkn unknown
unti unix_timestamp
upbg upbringing
upde update
upts update_ts
urbs suburb
urbsn suburban
use use
user user
usr 
usrr usr
usul usual
utff UTF-8
utst unix_timestamp
uuid UUID
uuu ubuntu
vale Value
valu value
var var
vare Variable
vars variable_scope
vear reveal
vercn conversation
vgne VGGNet
vidp provide
vidpd provided
view view
vimm Vim
vipd provided
viru virtue
vmwe Vmware
vscd VScode
wapo wavepoint
wate water
wdps wordpress
wedd Wednesday
wedo wedo weidongcao
ween weekend
weio weidongcao
west west
wete wedotest
wgan WGAN
what what
whee where
when when
whil while
widh width
wifi wifi
wiki wiki
wind Windows
winds Windows
wins Windows
wisc winscp
wism wisdom
with with
word 
wrig writting
xgbt XGBoost
ximya approximately
xray xray
xshl XShell
yaml yaml
yamu YAMU
year year
yeas years
yong yong
youg young
yrdns yrdns
