aark 蓝牙接收器
rfrh 挂掉
rftk 的过程
rfuj 持单
rfyy 的地方
rgga 打不开
rggc 找不到
rggh 换一下
rggo 接下来
rgif 牛顿法
rgpn 执政官
rhbc 爬取
rhef 牛腩
rhpf 看完
rhsf 的目标
rhwq 看你
rhww 牛人
rjkt 的影响
rjpy 看电视
rjuj 的时间
rjwh 的时候
rjyt 打电话
rkrk 扣扣
rkyc 的顺序
rlfa 热加载
rlwf 返回值
rmdn 抽成
rmqg 缺钱
rmtm 投币
rnim 拨测
rnna 的发展
rnrf 的性质
rnsv 所要
rnug 的情况下
rnuk 的情况
roga 的类型
rorn 的数据
rpdc 的密码
rqbn 打错了 的了
rqjg 的是
rqkb 的啊
rqkc 的吗
rqpb 的名字
rqqg 的钱
rqtq 的名称
rqwx 持久化
rrbo 损失函数
rrck 控制台
rrgf 白球
rrjg 指的是
rrkr 抓听
rrrt 手把手
rrud 白送
rrvs 白嫖
rsfi 的要求
rsfo 擦枪走火
rsiy 打流
rstw 打标签
rsyi 拉格朗日乘子法
rsyj 拉格朗日
rtit 的生活
rtiy 手游
rtov 手数
rtrc 的选择
rtrj 拖拽
rtrw 执行操作
rttg 的特征
rtts 后备箱
rtvb 挻好
rtwf 插值
rubc 拉取
rudy 的状态
rujg 的问题
rujs 的效果
ruqc 拉勾
ruqt 招商银行
ruuj 抖音
ruwv 的部分
ruyk 的意识
rvdc 扫码
rvqt 搜狗
rwet 的作用
rwsf 抢票
rwth 的信息
rwud 推送
rwwa 迭代
rwwy 的命令
rxjs 的结果
rxsq 的结构
ryjg 的就是 的变量
rywr 的文件
saas 模式匹配
scgf 相对于
scwf 权值
sdar 核磁共振
sdsf 李成桂
sdwq 极大似然
sdwy 极大似然估计
sewf 极值
sgfb 本地
sgjg 要不是
sgmh 栈帧
sgqd 要不然
sgsv 要不要
shfh 椒盐
shud 想着
shvb 想好
sigf 相当于
siwf 极小值
skin 机器学习
slyw 配置文件
smft 机考
snbn 可以了
snyy 可以认为
spuj 栈空间
spwx 可视化
srhh 本质上
srov 相反数
srwb 模拟仓
srxn 可持续发展
ssov 样本数
ssyy 禁言
stkk 构造器
stwx 标签化
sult 柱状图
suto 相关系数
suty 相关短语
suud 标准差
suwg 样例
svaq 根区
swhk 极值点
swlt 橙图
swsc 榆树
swuf 橙装
swuq 橙将
sxpg 相比之下
sxux 顶级前缀
sygb 梯度下降
sygi 梯度下降法
sypo 概率密度函数
sywd 概率分布
sywf 梯度值
syyw 概率论
tahh 选项卡
taps 长宁
tapu 长袖
tbfy 入职培训
tbjg 我也是
tbmq 物联网
tcqe 私钥
tcut 智能音箱
tdag 生成式模型
tdax 生成式对抗网络
tdkk 生成器
tdng 自古以来
tdsg 适配
tdtu 知乎
tdwh 第三个
tdwq 我帮你
tdyn 科大讯飞
tdyy 第三方
tfaq 告警
tfbn 行了 丢了
tfgh 等下
tfkc 行吧
tfqf 街镇
tfrt 自动换行
tfrw 物超所值
tfuw 第二部分
tfwh 第二个
tfwn 千亿
tfyu 靠谱
tgbg 向下取整
tgfn 篮球场
tghi 每一步
tgip 很正常
tglf 重置
tgrq 得到的
tgsm 物理机
tguq 第一次
tguw 第一部分
tgwh 每一个
thaf 重点区域
thbg 向上取整
thbn 算了
thfu 自增
thgq 自残
thrr 自拍
tids 生活成本
tiov 秒数
tiqs 秒杀
tirq 适当的
titj 我觉得
tjaw 向日葵 梨花
tjpq 千里之外
tjte 复盘
tjuj 短时间
tjum 短时间内
tkfb 种地
tlga 待办事项
tllj 处置力量
tlwh 第四个
tmam 微黄
tmdh 躺在
tmrg 向后
tmuq 第几次
tmwy 微信
tnrq 自己的
tnsc 稀疏树
tntb 稀疏矩阵
toff 翻墙
torn 造数据
tpjq 很容易
tptm 重定向
tpxp 管综
tqpp 自然灾害
tqui 自然资源
trbu 物联
trcc 我又
trdh 我在
trgh 我看下
trkn 我叫
tsag 奥林匹亚
tsce 很可能
tsnt 重要性
tsov 条数
tsrq 重要的
ttad 径向基
ttat 特征工程
ttbn 怎么了
ttbt 算得了什么
ttft 笔考
ttlg 怎么回事
ttsa 复选框
ttsh 怎么想
ttwe 怎么使用
ttwx 自我介绍
tugy 简单来讲
tuny 乘以
turg 税后
tvya 复杂度
twgv 笑贫不笑娼
twou 条件熵
twqk 重命名
twsy 条件概率
twui 微信交流
twwk 微信公众号
twyy 符文
txgg 每一
txhv 航母战斗群
txog 等比数列
txus 系统剪切板
tybb 租房子
tybk 入职
tycd 入参
tyks 程序员的中年危机
tynf 知识改变命运
tyod 很麻烦
ubtf 逆行
ubwy 美联储
ucgs 普通一本
ucou 交叉熵
udbf 新大陆
udbn 关了
uddd 头大
udfj 送进
udfy 准确地说
udtk 卷积
udyx 准确率
ueqn 前馈
uffg 壮士
ugaa 交互式
ugce 并不能
ugem 美股
uggd 前一天
ugvf 辣妹
uhny 头皮发麻
uhyi 北上广深
uide 并没有
uiee 美洲豹
ujdp 韵达
ujhn 半监督学习
ujpx 递归神经网络
ujrc 单反
ujvb 效果好
ukag 判别式模型
ukkg 端口号
ukud 意味着
ultt 美图秀秀
upeo 新冠肺炎
upxg 首字母
uqjt 将星
uqlt 竞争力
usgo 新来
usud 新郑
usvc 亲妈
utbl 逆矩阵
utgi 郑和下西洋
utnf 卷积层
utov 单复数
utpx 卷积神经网络
utqt 单身狗
utsc 决策树
utsy 卷积核
uttj 疼得
uwee 半个月
uwij 半个小时
uwtb 单位矩阵
uwve 闪退
uwvq 闪婚
uxtk 单线程
uxud 背着
uyag 六七
uywq 状语从句
vbkc 好了吗 好吧
vbkf 好哇
veiy 退游
vfge 建表
vgpj 好不容易
vikm 女演员
vlyx 召回率
vnnx 好习惯
vryj 录播课
vtbn 那算了
vtfj 君坦
vtju 好长时间
vtte 群租
vwqt 媳份儿
waeb 代孕
wahh 储蓄卡
walw 全世界
wasg 偷东西
watc 人工智能
wbjg 他是
wbov 值函数
wbwu 仓位
wcqe 公钥
wdaa 分布式
wdat 分布式计算
wdbn 做了
wdfn 代码块
wdgi 从大到小
wdjk 集成电路
wdpw 假大空
wdsg 优酷
wefa 作用域
wfcd 传参
wfuq 会将
wggo 停下来
wggt 今天下午
wgjg 倒是
wgnt 依赖性
wgte 合租
wgtf 全选
wgwf 会不会
wgwg 便便
wgwx 全球化
wgyj 全球变暖
whee 个月
whpr 从此之后
wjlk 今晚回来吗？
wkrq 集中的
wkyl 人口库
wlrn 全连接层
wlru 全连接
wnov 偏导数
wnqd 似然
wnrq 假的
wnwx 个性化
wokk 分类器
wqbo 似然函数
wqce 你能
wqdm 低碳
wqjg 你是
wqod 父类
wqpu 命名空间
wqrq 您的
wqvc 爸妈
wqxe 父级
wsik 谷歌浏览器
wslm 坐标轴
wsya 全概率公式
wsyx 全概率
wtdd 人生百态
wtjg 什么是
wtjw 什么时候
wtng 什么情况下
wtnu 什么情况
wtsa 斜杠
wttf 任我行
wtyn 健身房
wuhq 悠着点儿
wukr 傅立叶变换
wuyt 低头族
wvnt 分发
wvww 创始人
wvyj 您好,请教个问题
wwkk 优化器
wwqk 从句
wwtf 命令行
wwvt 人妖
wxtu 化简
wxyl 华为
wydh 停在
wyfa 邻域
wyih 偏小
wylf 偏置
wynf 偏导
wyng 领情
wypg 会议室
wypy 人为定义
wywx 信佛
wyyg 领证
xagf 红球
xcwf 绝对值
xggh 线下
xgnt 线性
xjjq 费歇
xldd 比较大
xlih 比较小
xlnj 比较慢
xlvb 比较好
xlxe 比较级
xmrx 纳指
xngw 纪玲
xnlj 线性回归
xnwo 线性代数
xrus 强制关机
xrve 纯牛奶
xtgw 给我一个
xttm 比特币
xtwf 终值
xucq 弱鸡
xuja 幽门螺旋杆菌
xutn 红颜知己
xuxu 弱弱
xvtb 结婚生子
xwft 纳什均衡
xwgc 给到
xwge 维表
xwtr 给我
xwwq 给你
xwyi 维京
xxfg 弱弱地问下 弱弱地问一下
xxya 经纬度
yagh 试下
yaig 高斯混合模型
yaud 试着
yawd 高斯分布
ybkc 变了吗
yffg 读博
yfgh 请教下
yfwj 请教个问题
yfwp 市场份额
yfyf 讲讲
ygdy 语态
ygig 记不清
ygpr 毫不客气
ygqt 这事儿
ygrh 这一年
ygwx 序列化
ygyq 语义
yhrh 这些年
yiai 京东
yide 就没有 就有
yidh 就在
yikn 就叫
yirc 就把
yitj 就得
yiwt 这没什么
yjqt 变量名称
yjwf 变量作用域
ylpw 为空
ymad 高斯
ymcd 调参
ymdg 高三
ymqr 高铁
ymqt 高锋
ymtf 高德
ymwd 调优
ynbn 赢了
ynud 望着
ynwt 记作
yobn 变了
yowk 麻烦您啦
yoyl 语料库
yphk 这点
ypqk 这句
ypty 这篇
ypyt 说实话
yrkg 方括号
ysnb 就可以了
ysny 就可以
ysqk 主机名
ysxk 文本编辑器
ysyi 这样就
ythb 就先睡了
ytkr 谢啦
ytlk 放回
ytqq 这么多
ytut 就知道
yugh 说下
yuku 这意味着
ywgk 这件事
ywhv 文件目录
ywif 词袋法
ywqk 文件名
yxkk 畜口
yxrq 详细的
yxwy 训练集
yyep 谈恋爱
yyjg 这就是
yyrh 试试看
yyrk 试试看吧
yyud 方差
yyyy 议论文
aqru 欧拉
aqtr 艾特
artx 欧拉系统
bmww 出价
bpwy 出家人不打诳语
cccc 又又又
cfyt 圣诞
cydc 验证码
ddhi 大叔
dggo 三亚
dpim 有空没
dqww 砍价
dtkg 有符号
eorn 脏数据
eygq 脑残
fcrh 去掉
fgfc 动不动
fnae 卖菜
fplw 过界
ftbn 老了
ftkg 无符号
fwtk 堆积
ggad 天下英雄出我辈
ggll 来来回回
gifh 不走
gigi 歪歪
gkud 事关
gmuq 两次
gtiw 一入江湖岁月催
hket 占用
hktf 点赞
hqpy 虎狼之词
iega 光脚不怕穿鞋
igbn 学到了
ihan 滤芯
ipgc 学到
iptm 浑身
jfud 时差
khfp 跳过
khtf 中午
lhyy 甲方
lklg 回车
lkrv 架势
mfgg 周五
mtti 几秒
nfmq 局域网
ngwy 司令
ooxg 炉火纯青
pfwa 富二代
pfyv 富士康
pgrq 写的
ppgg 安安静静
qtqt 狗狗
qurh 铲掉
qyng 留情
rhge 年表
rqrq 撸撸
rsrs 投桃报李
rwbu 失联
rwfc 失去
sfrn 票据
tdtd 舔舔
tdyy 敌方
tfgd 第二天
tgtf 行不行
tgug 重症
tjaw 向日葵
twte 自作自受
twwq 毛爷爷
ufgq 半死
uikk 净水器
ujkm 交易员
ukuk 问问
utwf 颜值
vjwh 那时候
vtlw 群待办
vvkc 忍忍吧
vvyg 女主
vyvy 忍忍
wfng 舆情
wgfc 拿去
wgnn 僵尸
wgpe 全家
wqjg 像是
wyjh 今早
ygrt 主播
